BarTp	Trade					BarTp	Trade			
										
UX1 Index						UX2 Index				
Dates	Open	Close	High	Low		Dates	Open	Close	High	Low
2019/3/15 06:00	13.92	13.92	13.92	13.92		2019/3/15 06:00	15.3	15.32	15.32	15.3
2019/3/15 06:15	13.91	13.86	13.95	13.85		2019/3/15 06:15	15.32	15.3	15.33	15.3
2019/3/15 06:30	13.85	13.85	13.86	13.85		2019/3/15 06:30	15.35	15.3	15.35	15.3
2019/3/15 06:45	13.85	13.83	13.85	13.82		2019/3/15 06:45	15.31	15.33	15.35	15.31
2019/3/15 07:00	13.82	13.83	13.85	13.82		2019/3/15 07:00	15.32	15.33	15.37	15.32
2019/3/15 07:15	13.85	13.85	13.86	13.83		2019/3/15 07:15	15.35	15.35	15.38	15.33
2019/3/15 07:30	13.83	13.82	13.85	13.82		2019/3/15 07:30	15.36	15.36	15.37	15.36
2019/3/15 07:45	13.83	13.85	13.87	13.83		2019/3/15 07:45	15.35	15.35	15.39	15.35
2019/3/15 08:00	13.85	13.8	13.85	13.8		2019/3/15 08:00	15.35	15.35	15.35	15.33
2019/3/15 08:15	13.8	13.85	13.88	13.8		2019/3/15 08:15	15.35	15.35	15.36	15.33
2019/3/15 08:30	13.9	13.9	13.9	13.9		2019/3/15 08:30	15.37	15.35	15.37	15.35
2019/3/15 09:00	13.9	13.9	13.9	13.9		2019/3/15 08:45	15.35	15.35	15.35	15.35
2019/3/15 09:15	13.87	13.9	13.9	13.87		2019/3/15 09:00	15.35	15.4	15.4	15.35
2019/3/15 09:30	13.9	13.87	13.9	13.87		2019/3/15 09:15	15.36	15.4	15.4	15.35
2019/3/15 09:45	13.87	13.85	13.9	13.85		2019/3/15 09:30	15.4	15.4	15.4	15.35
2019/3/15 10:00	13.8	13.8	13.8	13.78		2019/3/15 09:45	15.4	15.35	15.4	15.35
2019/3/15 10:15	13.78	13.78	13.78	13.78		2019/3/15 10:00	15.35	15.3	15.35	15.3
2019/3/15 10:30	13.75	13.75	13.75	13.75		2019/3/15 10:15	15.3	15.3	15.35	15.3
2019/3/15 10:45	13.75	13.75	13.76	13.75		2019/3/15 10:30	15.35	15.35	15.35	15.3
2019/3/15 11:00	13.75	13.8	13.8	13.73		2019/3/15 10:45	15.3	15.3	15.31	15.25
2019/3/15 11:30	13.8	13.75	13.8	13.75		2019/3/15 11:00	15.25	15.3	15.3	15.25
