Dates,S_Close,S_Open,C_Close,C_Open
2010/1/12,969.5,999.5,392.5,419
2010/1/13,983.5,965.5,384,384.5
2010/1/14,968.5,983.75,381,382.25
2010/1/15,974,983.5,371.5,379
2010/1/18,974,983.5,371.5,379
2010/1/19,963.5,974,369.25,371.5
2010/1/20,950,963.75,368,369.25
2010/1/21,954,950,372,369
2010/1/22,951.5,956,364.75,372.5
2010/1/25,940.5,955,367.75,366.75
2010/1/26,947.5,941,362.25,367.75
2010/1/27,929,945.75,358.25,362.25
2010/1/28,931.75,931.25,361.75,359
2010/1/29,914,931.5,356.5,361.75
2010/2/1,909.75,915.25,359,356.25
2010/2/2,925.5,911.25,365,359
2010/2/3,908,926.5,353,365
2010/2/4,914,911.25,354,355.75
2010/2/5,913.5,914,351.5,354.25
2010/2/8,929.5,919.75,356,354
2010/2/9,924.5,929.5,358.5,355.75
2010/2/10,937.5,924,361.75,358.75
2010/2/11,943,938,363.25,361.75
2010/2/12,945,942,361.5,363.5
2010/2/15,945,942,361.5,363.5
2010/2/16,965.5,948,367.25,362.25
2010/2/17,951.5,963.5,360,367
2010/2/18,948,952,357.25,360.5
2010/2/19,945,939.5,360,355
2010/2/22,961.5,946.25,371.5,360
2010/2/23,952.5,960,367.75,370
2010/2/24,955.5,952.5,375.25,367.75
2010/2/25,941.5,954.75,372.25,374.75
2010/2/26,951,940.5,378,372
2010/3/1,952.5,954.25,370.75,378
2010/3/2,954.25,952,370.5,371
2010/3/3,954.5,954.75,375.75,370
2010/3/4,932.5,952,372,375
2010/3/5,934.75,934.75,364.75,373
2010/3/8,940.5,938,364.5,367
2010/3/9,941.5,941,358.75,364.5
2010/3/10,952,941.25,355.5,359
2010/3/11,925.5,956,355.5,356.75
2010/3/12,926,931.5,354,356.25
2010/3/15,930,926.25,363.25,365
2010/3/16,945,930.5,366.75,363.75
2010/3/17,959,944,374,367.75
2010/3/18,959.5,957.5,376,373
2010/3/19,961.75,959.5,374.5,375.25
2010/3/22,968.5,959.75,370.75,373.5
2010/3/23,968,966.75,362.75,371
2010/3/24,960,967.75,365,363.25
2010/3/25,942.5,958,355,364.5
2010/3/26,952,942.75,356.25,355.25
2010/3/29,967.5,952.5,357,356
2010/3/30,974,967.5,354.5,356.5
2010/3/31,941,972,345,353.75
2010/4/1,942,940,344.5,345.25
2010/4/2,942,940,344.5,345.25
2010/4/5,936,942,345.75,344.75
2010/4/6,944.5,936,346.5,345.75
2010/4/7,952.5,942.5,356.5,346.75
2010/4/8,946.5,950.25,348.25,355
2010/4/9,952.25,946,345.75,348.25
2010/4/12,960,954.5,348.25,346.5
2010/4/13,968,958.25,352.5,347.75
2010/4/14,969,968,358,352
2010/4/15,984,968.5,363.25,357.5
2010/4/16,985.25,983,364,362
2010/4/19,976.75,981.5,347.75,362.5
2010/4/20,984,977.5,355.5,349.25
2010/4/21,995.5,985,359.25,355.25
2010/4/22,1004.25,995,362.25,358.75
2010/4/23,1000,1002.25,353,360.75
2010/4/26,998.75,996,352.25,353
2010/4/27,982.75,997.75,347.5,352.25
2010/4/28,982.75,982,357,348.5
2010/4/29,985.75,983,360.5,356.75
2010/4/30,989.5,985,366.25,361
2010/5/3,975.75,988.25,362.75,366
2010/5/4,977,975.25,360,362.25
2010/5/5,968.25,978.5,364.75,360
2010/5/6,945.5,969,364,365
2010/5/7,951.25,945.75,364.75,362.25
2010/5/10,952.75,954.25,363,363.75
2010/5/11,958.25,953,369.75,362
2010/5/12,959.5,958.75,371.75,369.5
2010/5/13,960.5,958.25,366.5,370.25
2010/5/14,948,960.5,356.75,366.5
2010/5/17,941,954,356,364
2010/5/18,939.5,943,359.75,358
2010/5/19,938.5,938.5,359.25,359.75
2010/5/20,944,941.5,362,360
2010/5/21,941,944.75,369,362
2010/5/24,940.5,941,371,368.5
2010/5/25,930.5,939,364.25,369
2010/5/26,938,934.25,371.5,367.25
2010/5/27,951.75,936.75,373.25,369.5
2010/5/28,937.75,951.75,359,372
2010/5/31,937.75,951.75,359,372
2010/6/1,932,939.25,354,358.75
2010/6/2,932.5,931.5,348.5,354.25
2010/6/3,955,934,349.5,349
2010/6/4,935,955,340,350
2010/6/7,935,934,335.75,340.75
2010/6/8,931,934,337.25,336.5
2010/6/9,943.5,929.75,338.25,338
2010/6/10,935,942.75,343.25,338
2010/6/11,946.25,935,349.5,343.25
2010/6/14,951.5,945,353.75,349
2010/6/15,949.5,949.75,353.75,352
2010/6/16,957.75,949.5,356.25,353.5
2010/6/17,952,957,357.5,356.25
2010/6/18,961,953.5,360.75,356.75
2010/6/21,963.25,965.25,355,363
2010/6/22,965.5,963.25,351.5,355
2010/6/23,958,964.25,346.5,351.25
2010/6/24,955.5,958,344.75,346.5
2010/6/25,957,956,340.5,344.75
2010/6/28,955,958.25,333.75,339.5
2010/6/29,947.25,957.5,325,333.5
2010/6/30,948.5,948.5,354.25,325.25
2010/7/1,953.5,948.5,365.5,354
2010/7/2,962.75,951,364,363.5
2010/7/5,962.75,951,364,363.5
2010/7/6,964.25,962.5,360,362.25
2010/7/7,993,964,370.75,360
2010/7/8,1012.5,989.5,377.5,370.75
2010/7/9,1025.5,1012.5,375.25,375.75
2010/7/12,1031.75,1024.75,371.25,375
2010/7/13,1030.5,1034,366.75,369.5
2010/7/14,1036,1030.5,375.25,366
2010/7/15,1019,995.75,392.5,383.5
2010/7/16,1019.5,1018,394.75,391.25
2010/7/19,1008,1007.25,381.5,386.25
2010/7/20,1011.75,1006.75,374,379.75
2010/7/21,1015.25,1012,379.75,374
2010/7/22,1016,1013.5,376.5,379
2010/7/23,1017,1015.25,371.25,375.25
2010/7/26,998.25,1014,364,369
2010/7/27,998,997.5,362.75,363.5
2010/7/28,1010.5,998,376.25,362.75
2010/7/29,1026.75,1012.5,379.25,376
2010/7/30,1052.5,1026.25,392.75,378.5
2010/8/2,1053.25,1051.75,390.5,391.5
2010/8/3,1053.5,1051,389.5,390
2010/8/4,1053,1048,400.25,388.75
2010/8/5,1055,1054,403.5,398.75
2010/8/6,1059,1052.25,405,401.25
2010/8/9,1048.5,1057.75,403,402.75
2010/8/10,1036.25,1047,393.5,402.5
2010/8/11,1044.5,1038,395.5,393.5
2010/8/12,1057,1049.5,406.25,394.75
2010/8/13,1052,1075,411.75,406
2010/8/16,1034,1042.25,407.25,409
2010/8/17,1045.25,1029.5,414.75,407
2010/8/18,1035.25,1044.75,418.5,414
2010/8/19,1016.75,1035,414.25,417.5
2010/8/20,1009.25,1017,421.25,414
2010/8/23,1007,1009,417.25,420
2010/8/24,999.5,1007,405.25,416
2010/8/25,1000,999.25,404.75,404.75
2010/8/26,1013,1000.5,416.5,405
2010/8/27,1022,1013.25,421,416
2010/8/30,1018,1024.25,425.5,423.25
2010/8/31,1008,1015,424.5,424.75
2010/9/1,1004.5,1008.75,432.25,424.75
2010/9/2,1007.5,1005.75,433,432.25
2010/9/3,1029.75,1008.5,449.75,432.5
2010/9/6,1029.75,1008.5,449.75,432.5
2010/9/7,1043.75,1031.25,451.5,449.75
2010/9/8,1041.25,1041,447.5,450.75
2010/9/9,1037.75,1036.25,456.25,447.75
2010/9/10,1023.5,1025,464,456
2010/9/13,1025.25,1021,469.25,463.25
2010/9/14,1025,1026.75,478,470
2010/9/15,1042.5,1035,495.25,494
2010/9/16,1036.25,1043,496,495
2010/9/17,1069,1036.75,513.25,497
2010/9/20,1084.5,1069,508.25,513.25
2010/9/21,1080,1083.75,505.25,507.5
2010/9/22,1088.5,1080,505,504.5
2010/9/23,1093.5,1091,499.25,506.25
2010/9/24,1126,1093,521.75,498.75
2010/9/27,1128.5,1126,512.75,522
2010/9/28,1110,1127,500,512
2010/9/29,1099,1108,505,500
2010/9/30,1106.75,1098.75,495.75,505
2010/10/1,1057,1105.5,465.75,494.75
2010/10/4,1054,1055,471.5,460.5
