Dates	PX_LAST	PX_OPEN	PX_HIGH	PX_LOW
2015/1/1	2052.4	2077.9	2082.4	2051.3
2015/1/2	2046.3	2055	2066.6	2039.5
2015/1/5	2015.9	2043.7	2048.1	2010
2015/1/6	1994.4	2018.9	2023.2	1984
2015/1/7	2019.6	1997.1	2024	1995.8
2015/1/8	2055	2021.2	2058.3	2020.8
2015/1/9	2035.3	2054.1	2061.2	2031.5
2015/1/12	2022.4	2035.6	2047.5	2015.5
2015/1/13	2016.1	2024	2051	2001.5
2015/1/14	2007.5	2016.7	2019.2	1982
2015/1/15	1989.1	2010.5	2026.8	1978.8
2015/1/16	2012.9	1980.5	2014.2	1971.4
2015/1/19	2012.9	1980.5	2014.2	1971.4
2015/1/20	2016.8	2009.9	2025.3	1998
2015/1/21	2026.6	2016	2032	2005.5
2015/1/22	2056.4	2026	2059	2020
2015/1/23	2043.9	2054.6	2062	2042.5
2015/1/26	2053.6	2035.5	2054.7	2026.1
2015/1/27	2030	2054.2	2054.5	2013
2015/1/28	1991.6	2036	2046.3	1991.5
2015/1/29	2018.5	1994.3	2019.2	1982.5
2015/1/30	1988.4	2018.6	2018.6	1986
2015/2/2	2017.1	1991	2018.2	1974
2015/2/3	2042.1	2015	2044	2007.4
2015/2/4	2030.1	2040.2	2049	2023.9
2015/2/5	2055.1	2025	2058.5	2021.5
2015/2/6	2053.1	2056.2	2067.5	2045
2015/2/9	2042.4	2047.8	2051.3	2037
2015/2/10	2062.2	2043.8	2066	2041
2015/2/11	2065.7	2062.7	2079	2053.5
2015/2/12	2084.1	2071.8	2085	2059.8
2015/2/13	2093.5	2082.4	2094.9	2082
2015/2/16	2093.5	2082.4	2094.9	2082
2015/2/17	2095.9	2091	2098.3	2081
2015/2/18	2095.4	2096.4	2098.2	2088.8
2015/2/19	2095.3	2095.2	2099	2087.7
2015/2/20	2107.1	2095.5	2108	2082.5
2015/2/23	2106.7	2107.2	2107.5	2100
2015/2/24	2113.7	2106.3	2115.5	2103
2015/2/25	2110.2	2113.5	2117.3	2107.5
2015/2/26	2109.9	2110.2	2114.7	2101.5
2015/2/27	2102.8	2109.3	2110.7	2102
2015/3/2	2113.9	2104	2115.3	2100.8
2015/3/3	2104.8	2114.4	2114.4	2095.5
2015/3/4	2096.5	2104.2	2104.2	2085.5
2015/3/5	2099.7	2096.4	2103.5	2093.7
2015/3/6	2070.8	2099.6	2102.9	2066
2015/3/9	2077.7	2072.9	2082.3	2066.2
2015/3/10	2041.9	2077.6	2077.9	2041.5
2015/3/11	2039.5	2044.1	2052.1	2038.5
2015/3/12	2064	2037.5	2066.2	2037.5
2015/3/13	2049.8	2061	2064.1	2041
2015/3/16	2076.5	2063	2081	2062.5
2015/3/17	2074.4	2070.5	2077	2066
2015/3/18	2100.5	2068	2107	2062
2015/3/19	2090.4	2095.5	2097	2085.5
2015/3/20	2099.2	2078.6	2106.3	2078.1
2015/3/23	2094.8	2099.3	2106.7	2093.7
2015/3/24	2084.9	2095.4	2100.8	2083
2015/3/25	2053.8	2085.2	2089	2052.5
2015/3/26	2048.5	2055.1	2058.5	2033.3
2015/3/27	2052.6	2050.2	2056.7	2041.9
2015/3/30	2075.6	2052.9	2081.5	2049.5
2015/3/31	2060.8	2076.6	2076.8	2056.5
2015/4/1	2053.1	2057.8	2060.8	2039.4
2015/4/2	2059.5	2056	2064.5	2045
2015/4/3	2059.5	2059.3	2063.5	2038.5
2015/4/6	2073.2	2039.9	2079.5	2039.9
2015/4/7	2067.8	2071.6	2082.5	2066.3
2015/4/8	2075.9	2069.4	2080	2064.8
2015/4/9	2085.7	2077	2086.5	2067
2015/4/10	2095.5	2085.5	2096.1	2083.6
2015/4/13	2086.5	2095.5	2101	2085.2
2015/4/14	2090.9	2087.1	2092.7	2076
2015/4/15	2099.8	2090.2	2105.1	2087.5
2015/4/16	2100.8	2101.4	2104.2	2089.3
2015/4/17	2075.5	2101.3	2101.5	2064.7
2015/4/20	2091	2081.1	2097.5	2079.2
2015/4/21	2091	2089.9	2105.1	2087.7
2015/4/22	2100.2	2091.9	2103.3	2080.4
2015/4/23	2106.9	2099.6	2114.2	2088
2015/4/24	2111.7	2106.4	2114.5	2103.4
2015/4/27	2104.7	2112.7	2119	2100.3
2015/4/28	2112	2104	2112.3	2088.7
2015/4/29	2099	2110.7	2112.1	2090.8
2015/4/30	2078.9	2097.6	2101.2	2070.8
2015/5/1	2101.6	2081	2102.5	2080.9
2015/5/4	2109.3	2101.5	2114.5	2098.1
2015/5/5	2084	2108.8	2111.2	2081.9
2015/5/6	2074.2	2086	2093	2062
2015/5/7	2084.2	2074.7	2088	2057.7
2015/5/8	2108.4	2084.5	2113.5	2084.5
2015/5/11	2097.8	2108.9	2113	2096.5
2015/5/12	2095	2098.3	2100.7	2080
2015/5/13	2094.5	2096	2106.2	2091.8
2015/5/14	2117.6	2096	2118	2093.5
2015/5/15	2118.9	2117.1	2122.7	2113.5
2015/5/18	2125.9	2118.9	2128.5	2112.5
2015/5/19	2124.6	2126.2	2133.4	2121.8
2015/5/20	2122.5	2124	2132	2119.5
2015/5/21	2128	2120	2131.5	2116
2015/5/22	2124.6	2129	2130.6	2122.8
2015/5/25	2124.6	2129	2130.6	2122.8
2015/5/26	2104.9	2123.7	2126	2096.2
2015/5/27	2120.9	2103.4	2124	2101.3
2015/5/28	2121.7	2121.4	2122.5	2110.5
2015/5/29	2106	2121.6	2122.6	2102.5
2015/6/1	2109.2	2105.8	2117.5	2100.2
2015/6/2	2106.7	2111.4	2115.7	2094.9
2015/6/3	2116	2107	2120.5	2107
2015/6/4	2098.9	2115.6	2116.2	2091.5
2015/6/5	2092.2	2099	2101.2	2084
2015/6/8	2078.2	2092	2093	2076.3
2015/6/9	2080.1	2080.7	2084.5	2068.9
