Dates,S_Season,S_Ending_stock
2010/1/1,2338550,255
2010/1/4,2338550,255
2010/1/5,2338550,255
2010/1/6,2338550,255
2010/1/7,2338550,255
2010/1/8,2338550,255
2010/1/11,2338550,255
2010/1/12,2338550,255
2010/1/13,2338550,255
2010/1/14,2338550,255
2010/1/15,2338550,255
2010/1/18,2338550,255
2010/1/19,2338550,255
2010/1/20,2338550,255
2010/1/21,2338550,255
2010/1/22,2338550,255
2010/1/25,2338550,255
2010/1/26,2338550,255
2010/1/27,2338550,255
2010/1/28,2338550,255
2010/1/29,2338550,255
2010/2/1,2338550,245
2010/2/2,2338550,245
2010/2/3,2338550,245
2010/2/4,2338550,245
2010/2/5,2338550,245
2010/2/8,2338550,245
2010/2/9,2338550,245
2010/2/10,2338550,245
2010/2/11,2338550,245
2010/2/12,2338550,245
2010/2/15,2338550,245
2010/2/16,2338550,245
2010/2/17,2338550,245
2010/2/18,2338550,245
2010/2/19,2338550,245
2010/2/22,2338550,245
2010/2/23,2338550,245
2010/2/24,2338550,245
2010/2/25,2338550,245
2010/2/26,2338550,245
2010/3/1,2338550,210
2010/3/2,2338550,210
2010/3/3,2338550,210
2010/3/4,2338550,210
2010/3/5,2338550,210
2010/3/8,2338550,210
2010/3/9,2338550,210
2010/3/10,2338550,210
2010/3/11,2338550,210
2010/3/12,2338550,210
2010/3/15,2338550,210
2010/3/16,2338550,210
2010/3/17,2338550,210
2010/3/18,2338550,210
2010/3/19,2338550,210
2010/3/22,2338550,210
2010/3/23,2338550,210
2010/3/24,2338550,210
2010/3/25,2338550,210
2010/3/26,2338550,210
2010/3/29,2338550,210
2010/3/30,2338550,210
2010/3/31,1270068,190
2010/4/1,1270068,190
2010/4/2,1270068,190
2010/4/5,1270068,190
2010/4/6,1270068,190
2010/4/7,1270068,190
2010/4/8,1270068,190
2010/4/9,1270068,190
2010/4/12,1270068,190
2010/4/13,1270068,190
2010/4/14,1270068,190
2010/4/15,1270068,190
2010/4/16,1270068,190
2010/4/19,1270068,190
2010/4/20,1270068,190
2010/4/21,1270068,190
2010/4/22,1270068,190
2010/4/23,1270068,190
2010/4/26,1270068,190
2010/4/27,1270068,190
2010/4/28,1270068,190
2010/4/29,1270068,190
2010/4/30,1270068,190
2010/5/3,1270068,190
2010/5/4,1270068,190
2010/5/5,1270068,190
2010/5/6,1270068,190
2010/5/7,1270068,190
2010/5/10,1270068,190
2010/5/11,1270068,190
2010/5/12,1270068,190
2010/5/13,1270068,190
2010/5/14,1270068,190
2010/5/17,1270068,190
2010/5/18,1270068,190
2010/5/19,1270068,190
2010/5/20,1270068,190
2010/5/21,1270068,190
2010/5/24,1270068,190
2010/5/25,1270068,190
2010/5/26,1270068,190
