Dates	S1_LAST	S2_LAST	S3_LAST	S4_LAST	S5_LAST	S6_LAST	S7_LAST
2010/1/1	1039.75	1048.5	1053.75	1059.25	1053.5	1033.25	1014.25
2010/1/4	1049.5	1058	1062.5	1067	1061.5	1040	1020
2010/1/5	1052.25	1061	1064.75	1068.5	1062.5	1041	1023
2010/1/6	1050.5	1059	1063	1066.75	1061	1041	1024.75
2010/1/7	1017.75	1026	1031	1035.5	1031	1015	999.75
2010/1/8	1013	1022	1027.75	1032.25	1028.5	1012.5	999
2010/1/11	1001.75	1010.5	1017.25	1022.75	1018.75	1003.5	990.25
2010/1/12	969.5	978	985.75	992.75	989	976.5	965
2010/1/13	983.5	992.5	999.75	1006	1001.5	986.5	974.5
2010/1/14	968.5	984	990.75	996	989.75	973	959.5
2010/1/15	974	980.25	984.5	978	958.25	942.25	951.5
2010/1/18	974	980.25	984.5	978	958.25	942.25	951.5
2010/1/19	963.5	970.25	975.25	968.75	951	939.25	949
2010/1/20	950	956.75	961	955.5	941.5	928.5	938.25
2010/1/21	954	961	966	960	946.25	934	943.5
2010/1/22	951.5	959.25	964.75	958.25	944.5	933.25	942.75
2010/1/25	940.5	949.5	956.25	950	935	925.5	935
2010/1/26	947.5	957	964	957	939.5	929.25	938.75
2010/1/27	929	938.5	945.5	939	924.75	915.25	924.75
2010/1/28	931.75	941.5	948.5	942.5	929.25	922.25	931.75
2010/1/29	914	924.75	932.75	927	917	911.25	920.5
2010/2/1	909.75	920.75	928.75	924.5	913.75	908.75	918
2010/2/2	925.5	936.5	945.75	941	927.5	921.5	930.75
2010/2/3	908	919	928.5	924.5	912.5	907	916
2010/2/4	914	924.75	933.5	930	918	910	919
2010/2/5	913.5	924.25	932.75	928.75	914.25	903.5	912.75
2010/2/8	929.5	940	948	944	928.25	914.5	923.5
2010/2/9	924.5	935.25	944	941.5	925.75	912.5	921.75
2010/2/10	937.5	947	954.5	950	931.5	915.5	925
2010/2/11	943	952	958.75	954.25	936.25	922.5	932
2010/2/12	945	954	960.75	956	937.5	922	931.5
2010/2/15	945	954	960.75	956	937.5	922	931.5
2010/2/16	965.5	974.5	981.75	977	956.5	941	950.25
2010/2/17	951.5	961	968.75	964.75	946.75	931.75	941
2010/2/18	948	957.5	965.25	961.5	944	931.25	940.25
2010/2/19	945	954.5	962	958.5	940	926	934.75
2010/2/22	961.5	969	975.25	970.5	952	935.75	944.5
2010/2/23	952.5	959.5	965.5	961.25	942.75	927.25	935.75
2010/2/24	955.5	963	970.5	966	949	934.75	943.5
2010/2/25	941.5	950	957.5	954	940	929.5	938.25
2010/2/26	951	961	969	965.25	951.5	941	949.5
2010/3/1	952.5	962.5	970.5	966.25	952.5	942.5	951
2010/3/2	954.25	963.5	970.75	965.75	951	938.75	947.25
2010/3/3	954.5	963.5	971	966.75	953.5	942.5	951
2010/3/4	932.5	942	950.5	948	935	925	933.5
2010/3/5	934.75	942.75	950.5	947.75	935	925	933.75
2010/3/8	940.5	948	956	953.25	941	931	940
2010/3/9	941.5	947.5	956	953	938.5	927.5	936.25
2010/3/10	952	958	965.5	962.5	947.25	935.25	943.75
2010/3/11	925.5	930.5	939	937.75	925.5	916.5	925.75
2010/3/12	926	925.5	933.5	933	922	914	923.5
2010/3/15	930	937.5	935.5	921.5	914	923.5	931.5
2010/3/16	945	952.75	950.25	935.75	926	935.25	943.25
2010/3/17	959	966.75	964	949.75	940.5	949.5	956.5
2010/3/18	959.5	967.5	963.75	948.75	940	948.25	955.5
2010/3/19	961.75	969.5	966	952	942	950.25	957.75
2010/3/22	968.5	976.75	973.25	957.5	945.75	953.75	960.25
2010/3/23	968	975.5	970.5	951.25	936	944	951
2010/3/24	960	967.5	961.5	941.75	927.25	935.5	942.5
2010/3/25	942.5	950.5	945	925.5	913	921.25	928.75
2010/3/26	952	959.75	952.5	932	918	926.5	934
2010/3/29	967.5	974.5	965.5	941.5	925.5	933.5	940.5
2010/3/30	974	980.75	969.25	943.5	926.5	934.5	941.5
2010/3/31	941	950	943.75	926	918	926.25	933.25
2010/4/1	942	951.25	946.25	932.75	925.75	934.25	941.5
2010/4/2	942	951.25	946.25	932.75	925.75	934.25	941.5
2010/4/5	936	945.25	941.5	928.25	922.25	930.5	937.75
2010/4/6	944.5	953.5	950.25	937	931.75	940	947.25
2010/4/7	952.5	961.5	957.75	945.75	941.25	949.5	956.25
2010/4/8	946.5	956	953	942	937.5	945.75	952
2010/4/9	952.25	962	957.25	943.25	936.5	945	951.25
2010/4/12	960	968.5	962.25	943.75	935	943.25	950
2010/4/13	968	975.5	971	950	945	953	959.5
2010/4/14	969	977	971.75	954	946.25	954	960.5
2010/4/15	984	993	988.75	969.5	961	968.5	974.5
2010/4/16	985.25	995	990.75	973.25	965.5	972.75	978.25
2010/4/19	976.75	986.5	981.75	964.25	956	963.25	969.25
2010/4/20	984	994	989.25	972.25	963.25	970.25	976.25
2010/4/21	995.5	1006	1001.75	986	977	984	989
