	VIX Index		VXAPL Index		VXGS Index		VXIBM Index		VXAZN Index		VXGOG Index	
	Open Price	Last Price	Open Price	Last Price	Open Price	Last Price	Open Price	Last Price	Open Price	Last Price	Open Price	Last Price
Dates	PX_OPEN	PX_LAST	PX_OPEN	PX_LAST	PX_OPEN	PX_LAST	PX_OPEN	PX_LAST	PX_OPEN	PX_LAST	PX_OPEN	PX_LAST
2017/8/1	10.19	10.09	27.2	27.41	17.78	17.6	16.94	15.74	23.79	22.79	18.21	17.37
2017/8/2	10.08	10.28	22.22	22.93	17.94	20.59	16.38	16.04	22.49	22.6	17.32	17.01
2017/8/3	10.47	10.44	23.11	22.42	18.43	20.31	15.89	16.33	22.34	22.48	16.98	17.48
2017/8/4	10.48	10.03	22.35	21.38	17.93	18.98	16.33	15.78	22.22	21.17	16.89	15.84
2017/8/7	10.19	9.93	22.22	21.54	20.88	21.87	15.89	16.39	21.71	22.04	16.54	16.67
2017/8/8	10.04	10.96	21.72	22.47	20.59	19.73	15.94	16.51	21.88	22.4	16.41	17.43
2017/8/9	11.49	11.11	22.69	22.56	19.28	22.31	17.26	16.12	22.72	22.97	17.68	18.07
2017/8/10	11.57	16.04	23.1	27.62	22.27	23.88	15.58	17.59	23.3	24.77	18.11	20.86
2017/8/11	16.17	15.51	26.69	26.15	22.04	22	16.88	17.02	24.43	23.21	20.52	19.07
2017/8/14	14.05	12.33	26.05	23.41	22.38	20.02	17.4	14.36	22.22	21.39	18.72	15.73
2017/8/15	11.78	12.04	23.58	23.07	20.9	20.12	15.6	16.21	21.62	21.11	15.96	17.09
2017/8/16	11.59	11.74	23.55	22.59	20.5	20.53	16.38	15.19	20.92	20.86	16.8	16.46
2017/8/17	11.81	15.55	23	26.57	20.78	23.44	15.43	16.56	20.91	23.36	16.52	19.23
2017/8/18	15.38	14.26	26.45	26.1	24.16	21.71	16.09	17.05	23.23	22.27	18.81	18.6
2017/8/21	14.59	13.19	26.67	25.28	22.57	22.15	15.25	15.86	23.35	22.83	19.53	17.49
2017/8/22	12.6	11.35	25.15	25.04	21.79	21.05	15.42	16.11	22.91	20.85	17.67	16.53
2017/8/23	11.51	12.25	25.84	24.74	22.03	21.46	16.13	16.44	21.35	21.42	16.94	16.58
2017/8/24	12.06	12.23	24.71	25.49	21.47	21.6	16.3	17.09	21.27	22.89	16.71	17.51
2017/8/25	12.2	11.28	25.55	24.27	21.26	22.76	16.05	16.47	22.75	21.73	17.07	16.32
2017/8/28	12.09	11.32	25.15	24.65	22.52	22.63	17.01	17.54	22.43	21.96	16.88	17.16
2017/8/29	13.33	11.7	25.41	25	25.58	24.42	17.69	17.53	22.38	21.41	17.69	16.55
2017/8/30	11.4	11.22	25.11	25.08	22.52	22.95	17.64	17.74	21.54	21.71	16.84	17.06
2017/8/31	11.07	10.59	25.04	24.25	22.55	22.89	17.94	18.33	21.67	21.55	16.99	17.63
2017/9/1	10.33	10.13	24.48	24.98	22.66	21.84	17.94	18.15	21.33	20.57	16.68	16.81
2017/9/4	10.33	10.13	24.48	24.98	22.66	21.84	17.94	18.15	21.33	20.57	16.68	16.81
2017/9/5	11.75	12.23	26.21	26.25	23.35	26.66	19.12	19.19	21.63	22.33	18.06	18.34
2017/9/6	12.27	11.63	26.36	26.1	26.27	24.16	22.47	20.05	22.3	21.85	17.94	18.01
2017/9/7	11.93	11.55	26.04	25.91	23.98	28.31	20.03	20.66	21.42	21.49	17.96	18.47
2017/9/8	11.87	12.12	25.89	26.16	25.84	25.43	20.4	21.61	21.78	21.8	18.3	17.33
2017/9/11	11.38	10.73	24.54	23.39	26.8	25.15	22.35	19.54	18.13	16.72	13.7	12.93
2017/9/12	10.66	10.58	23.65	21.63	22.97	23.01	21.59	20.95	16.78	17.28	13.67	13.77
2017/9/13	10.72	10.5	22.5	19.84	23.55	22.75	21.74	20.34	18.06	18.69	13.61	11.73
2017/9/14	10.57	10.44	20.16	20.33	24.05	22.06	21.77	21.11	19.09	19.14	12.62	15.47
2017/9/15	10.51	10.17	20.24	20.2	21.67	21.9	18.59	19.89	19.5	18.32	15.66	14.01
2017/9/18	10.18	10.15	20.69	20.63	22.95	22.37	20.57	20.62	19.61	21.15	15.75	16.95
2017/9/19	10.16	10.18	20.82	20.36	22.22	21.76	20.26	19.94	21	20.56	16.34	15.8
2017/9/20	10.04	9.78	21.02	21.61	24.36	21.65	20.43	20.34	21.12	21.95	15.67	16.06
2017/9/21	9.74	9.67	22.2	21.84	22.2	21.4	20.27	20.57	22.33	22.32	16.1	15.63
2017/9/22	9.9	9.59	22.9	22.72	22.12	20.9	20.66	20.1	22.72	21.82	14.64	16.21
2017/9/25	10.08	10.21	25.15	25.11	22.29	22.8	19.62	21.32	23.81	25.61	18.13	19.34
2017/9/26	10.42	10.17	25.01	24.22	22.57	27.99	19.94	22.09	25.93	25.28	19.6	19.33
2017/9/27	9.9	9.87	24.23	23.84	21.77	22.51	20.71	22.13	25.3	24.97	19.2	20.79
2017/9/28	9.74	9.55	24.11	23.84	22.89	22.24	21.91	21.8	25.24	25.62	20.88	21.52
2017/9/29	9.59	9.51	24.26	22.55	22.42	26.12	20.88	21.43	25.68	24.53	21.49	19.94
2017/10/2	9.59	9.45	23.88	24.46	22.72	22.16	21.61	21.5	25.93	25.54	21.61	21.53
2017/10/3	9.3	9.51	24.81	24.53	22.21	23.12	20.99	21.46	26.08	26.44	21.29	22.31
2017/10/4	9.53	9.63	25.47	24.61	22.83	23.33	20.97	21.13	27.23	26.77	22.59	23.04
