	S 1 Comdty		C 1 Comdty		W 1 Comdty		BO1 Comdty		SM1 Comdty	
Dates	PX_LAST	PX_OPEN	PX_LAST	PX_OPEN	PX_LAST	PX_OPEN	PX_LAST	PX_OPEN	PX_LAST	PX_OPEN
2011/1/3	1370.25	1388.5	620.5	626.25	805.5	793.5	57.09	57.77	365.7	370
2011/1/4	1361	1369.5	608.5	620	789.25	803.5	56.33	57.08	364.7	364
2011/1/5	1386	1362	619.25	609	808.25	794.25	57.25	56.43	369.3	364.7
2011/1/6	1369.5	1384.5	602	618.75	789	809	56.9	57.4	365.2	369.1
2011/1/7	1357.75	1365.5	595	600.5	774	789	56.35	56.71	359.1	362
2011/1/10	1373.25	1361.75	607	597.5	767.25	777.25	56.66	56.81	366.8	361
2011/1/11	1350.5	1376.5	607	608	759.5	769.75	56.17	56.73	359.2	368.2
2011/1/12	1409	1354	631	608	770.5	761.75	57.43	56.3	377.4	360.5
2011/1/13	1410	1412.75	642.5	633.5	783.5	776.75	57.3	57.4	378.6	379.2
2011/1/14	1406.5	1413.25	648.75	645	773.25	784.25	56.7	57.33	377	378.4
2011/1/17	1406.5	1413.25	648.75	645	773.25	784.25	56.7	57.33	377	378.4
2011/1/18	1413.25	1412.25	659.5	647.25	793.25	777.5	57.55	57.05	383.4	384.2
2011/1/19	1411.5	1416.5	641.25	659.5	797.25	792.5	57.69	57.61	383.3	383.8
2011/1/20	1414.25	1413	654	641.25	803.5	798	57.26	57.67	385.3	382
2011/1/21	1412.25	1415.75	657.25	656	824.5	805	57.56	57.26	379.6	384.4
2011/1/24	1404.5	1412.5	655.25	659.5	835.25	829.25	57.18	57.83	380.2	379.9
2011/1/25	1374.5	1404.25	644	654.75	838.25	835.25	55.78	57.24	372.6	380.1
2011/1/26	1385.5	1375.5	657.75	644	856.5	840.5	56.7	55.9	374.4	373.4
2011/1/27	1399.5	1389.25	650.75	658.5	846.25	859	57.41	56.82	377.4	375.2
2011/1/28	1398	1401.5	644	652	825.75	848	57.27	57.45	377	377
2011/1/31	1413	1395.25	659.5	642.25	840.75	824	57.88	57.29	380.3	375.2
2011/2/1	1438	1413.5	666	658.75	835.75	844.5	58.72	57.92	390	380.5
2011/2/2	1444	1439.5	669.25	665.5	863	836	59.25	58.68	386.9	388.4
2011/2/3	1435.5	1446	662.5	669	859	862.5	58.78	59.27	386.4	387.8
2011/2/4	1433.5	1438.5	678.5	664	853.75	859.25	58.98	58.91	383.2	386.5
2011/2/7	1424.5	1438	674.75	677	858.75	861	58.41	59.02	382.4	384.3
2011/2/8	1434.25	1425	673.75	674	874.25	859.75	58.77	58.44	385.7	382.4
2011/2/9	1451	1437	698	673.5	886	876	59.74	58.81	388.6	386.4
2011/2/10	1433	1451.25	698.5	698	862.75	886	59.04	59.6	382.5	388.6
2011/2/11	1416	1433	706.5	698.75	867	865	58.49	59.01	378.1	383
2011/2/14	1402.75	1419	695.75	706.25	872	876.5	57.69	58.55	375.5	378.6
2011/2/15	1368	1403	690.5	697	840.25	873	56.54	57.7	366.6	375.4
2011/2/16	1366	1369	690.5	691.5	837	843.75	56.61	56.57	364.3	366.7
2011/2/17	1404.5	1366	712.75	692	850.75	837.75	58.25	56.7	372.7	364
2011/2/18	1368	1406.5	709.75	712	822.25	851.25	56.49	58.25	362	373.7
2011/2/21	1368	1406.5	709.75	712	822.25	851.25	56.49	58.25	362	373.7
2011/2/22	1298	1379	679.75	714.5	762.25	825	53.99	57.45	346.5	365.7
2011/2/23	1320	1297	691.5	672.5	763	758.75	55.02	53.96	351.8	347.6
2011/2/24	1318.25	1321.5	685.75	693	747.25	764	54.61	55.1	350.4	352
2011/2/25	1365.5	1318.25	712	685	776.5	749	56.95	54.72	359.7	350.9
2011/2/28	1357.25	1367.5	722.5	712.5	782.5	783.5	56.77	57.07	356.4	360.3
2011/3/1	1367.5	1360	727.25	722	775.75	784.5	57.07	56.8	358	356.4
2011/3/2	1387.25	1365	714	726.25	776.75	771	58.27	57.07	359	358
2011/3/3	1405.5	1385	729.75	714	790.5	777.75	58.26	58	366.8	358.5
2011/3/4	1407.75	1404.75	721.25	729.5	800.5	800.25	58.96	58.25	363.8	365.3
2011/3/7	1387.75	1407.75	710.75	721.25	769	790	58.57	58.63	358.1	364.2
2011/3/8	1375.5	1389.25	698.75	710.75	751.25	774.25	57.97	58.39	355.4	355
2011/3/9	1344	1369	695	699	732.25	750.75	56.67	57.81	348.5	353.5
2011/3/10	1348.75	1335	676.25	694.5	714	707.5	56.48	56.15	349.1	349.5
2011/3/11	1326.5	1339.25	659.25	677.75	695	696	55.49	54.75	346.1	346.8
2011/3/14	1329	1323.75	664	658	700.5	690	55.27	55.5	349.6	344.6
2011/3/15	1270	1342	636	667.25	667.75	722.25	52.88	55.5	340.8	355.5
2011/3/16	1287	1273.5	616.5	630	662	668.25	52.96	52.74	344.5	340.3
2011/3/17	1335.25	1286.75	646.5	618.25	710.25	663.25	54.52	53	358.6	345
2011/3/18	1362.5	1336.25	683.5	656	723	708.75	55.77	54.7	367.9	358.4
2011/3/21	1363	1369.25	686.5	685.75	721	724	55.88	55.87	366.4	367.5
2011/3/22	1365.5	1363.5	686.75	686.75	722.25	721.25	55.86	55.93	366.4	366.3
2011/3/23	1351.25	1367	681	687.5	714.25	725	55.48	55.87	360	367
2011/3/24	1354.5	1350	702.5	681	739.5	714.25	56.12	55.55	359.8	360
2011/3/25	1358.25	1356.5	689.5	702.75	733.25	739.5	56.84	56.08	357.2	359.9
2011/3/28	1348.5	1360	671	692.75	725.25	736	56.53	56.82	353.6	357.6
2011/3/29	1361.5	1345.25	671.75	671	737.25	723.75	57.02	56.39	358.6	353.5
2011/3/30	1372	1362	663.25	672.25	727.25	738.25	57.32	56.96	360.5	358.2
2011/3/31	1410.25	1373	693.25	663.25	763.25	726.5	58.78	57.26	370.7	361.3
2011/4/1	1393.75	1411.5	736	730	759.5	760.5	58.68	58.63	360.9	372
2011/4/4	1384	1393.5	760.25	736	790	765.5	58.88	58.75	357	361.5
2011/4/5	1373.25	1384.5	766.75	758.25	786.25	788.25	58.85	58.94	353.6	357.5
