Dates,Net_position
2010/1/5,88081
2010/1/12,59176
2010/1/19,44874
2010/1/26,33156
2010/2/2,20542
2010/2/9,-3598
2010/2/16,13723
2010/2/23,19179
2010/3/2,16502
2010/3/9,3367
2010/3/16,-1427
2010/3/23,30710
2010/3/30,35845
2010/4/6,10487
2010/4/13,39435
2010/4/20,64747
2010/4/27,75788
2010/5/4,67426
2010/5/11,39782
2010/5/18,15625
2010/5/25,5684
2010/6/1,56
2010/6/8,-8589
2010/6/15,10657
2010/6/22,24915
2010/6/29,15731
2010/7/6,1695
2010/7/13,59789
2010/7/20,95897
2010/7/27,90795
2010/8/3,113662
2010/8/10,129848
2010/8/17,138994
2010/8/24,130965
2010/8/31,132475
2010/9/7,139490
2010/9/14,141539
2010/9/21,158610
2010/9/28,173631
2010/10/5,149682
2010/10/12,162679
2010/10/19,183882
2010/10/26,188873
2010/11/2,192481
2010/11/9,195482
2010/11/16,160433
2010/11/23,162911
2010/11/30,162440
2010/12/7,168060
2010/12/14,172322
2010/12/21,178445
2010/12/28,186612
2011/1/4,172186
2011/1/11,170576
2011/1/18,183282
2011/1/25,170939
2011/2/1,184744
2011/2/8,188608
2011/2/15,157812
2011/2/22,132903
2011/3/1,131228
2011/3/8,144275
2011/3/15,110883
2011/3/22,129287
2011/3/29,125053
2011/4/5,128347
2011/4/12,105427
2011/4/19,93130
2011/4/26,110667
2011/5/3,102013
2011/5/10,85232
2011/5/17,80255
2011/5/24,90699
2011/5/31,97105
2011/6/7,109135
2011/6/14,88584
2011/6/21,66864
2011/6/28,53297
2011/7/5,53474
2011/7/12,72887
2011/7/19,110709
2011/7/26,117778
2011/8/2,103643
2011/8/9,59771
2011/8/16,79255
2011/8/23,129790
2011/8/30,183969
2011/9/6,180210
2011/9/13,160892
2011/9/20,116738
2011/9/27,75090
2011/10/4,58288
2011/10/11,55201
2011/10/18,65073
2011/10/25,63577
2011/11/1,53139
2011/11/8,46916
2011/11/15,25813
2011/11/22,7933
2011/11/29,9609
2011/12/6,8338
2011/12/13,16957
2011/12/20,20148
2011/12/27,38535
2012/1/3,49366
2012/1/10,59411
2012/1/17,48711
2012/1/24,61661
2012/1/31,56552
2012/2/7,80747
2012/2/14,100178
2012/2/21,115445
2012/2/28,135802
2012/3/6,171480
2012/3/13,188253
2012/3/20,211428
2012/3/27,223627
2012/4/3,244807
2012/4/10,242841
2012/4/17,244158
2012/4/24,247932
2012/5/1,259763
2012/5/8,236722
2012/5/15,219788
2012/5/22,208024
2012/5/29,204374
2012/6/5,176969
2012/6/12,212136
2012/6/19,217267
2012/6/26,231364
2012/7/3,255339
2012/7/10,254676
2012/7/17,256488
2012/7/24,245445
2012/7/31,239260
2012/8/7,227431
2012/8/14,231409
2012/8/21,254598
2012/8/28,236744
2012/9/4,246713
2012/9/11,233802
2012/9/18,214309
2012/9/25,214216
2012/10/2,199072
2012/10/9,195172
2012/10/16,182448
2012/10/23,186643
2012/10/30,187370
2012/11/6,181020
2012/11/13,144121
2012/11/20,130509
2012/11/27,122190
2012/12/4,122421
2012/12/11,138341
2012/12/18,143090
2012/12/25,124319
2013/1/1,117084
2013/1/8,86056
2013/1/15,89733
2013/1/22,108027
2013/1/29,111929
2013/2/5,141435
2013/2/12,141705
2013/2/19,139694
2013/2/26,147339
2013/3/5,146632
2013/3/12,157623
2013/3/19,118276
2013/3/26,128383
2013/4/2,101083
2013/4/9,72541
2013/4/16,85145
2013/4/23,81504
2013/4/30,96084
2013/5/7,78114
2013/5/14,88799
2013/5/21,105565
2013/5/28,128858
2013/6/4,147699
2013/6/11,161943
2013/6/18,140494
2013/6/25,128868
2013/7/2,115674
2013/7/9,120877
2013/7/16,129604
2013/7/23,113032
2013/7/30,77393
2013/8/6,45730
2013/8/13,59980
2013/8/20,108866
2013/8/27,147220
2013/9/3,166619
2013/9/10,152333
2013/9/17,157211
2013/9/24,140703
2013/10/1,114830
2013/10/8,116221
2013/10/15,118290
2013/10/22,125885
2013/10/29,127074
2013/11/5,109243
2013/11/12,134298
2013/11/19,141844
2013/11/26,157613
2013/12/3,163033
2013/12/10,178466
2013/12/17,186153
2013/12/24,182370
2013/12/31,162758
2014/1/7,135836
2014/1/14,151984
2014/1/21,154072
2014/1/28,148372
2014/2/4,170175
2014/2/11,202636
2014/2/18,216740
2014/2/25,228343
2014/3/4,226911
2014/3/11,211813
2014/3/18,202596
2014/3/25,192259
2014/4/1,203288
2014/4/8,188500
2014/4/15,194563
2014/4/22,166921
2014/4/29,174195
2014/5/6,139940
2014/5/13,139278
2014/5/20,132100
2014/5/27,141790
2014/6/3,117671
2014/6/10,96581
2014/6/17,57872
2014/6/24,54886
2014/7/1,26882
2014/7/8,10274
2014/7/15,-4797
2014/7/22,-14056
2014/7/29,-1977
2014/8/5,-6544
2014/8/12,2603
2014/8/19,-3071
2014/8/26,-14533
2014/9/2,-20482
2014/9/9,-31885
2014/9/16,-34292
2014/9/23,-37651
2014/9/30,-30345
2014/10/7,-24227
2014/10/14,-12121
2014/10/21,-246
2014/10/28,28533
2014/11/4,45759
2014/11/11,60586
2014/11/18,51767
2014/11/25,51561
2014/12/2,28786
2014/12/9,56529
2014/12/16,53185
2014/12/23,50376
2014/12/30,52427
2015/1/6,57417
2015/1/13,34641
2015/1/20,12914
2015/1/27,-17464
2015/2/3,-6590
2015/2/10,-27935
2015/2/17,-8797
2015/2/24,15013
2015/3/3,34636
2015/3/10,11613
2015/3/17,-8307
2015/3/24,956
2015/3/31,-3105
2015/4/7,-6297
2015/4/14,-41018
2015/4/21,-8740
2015/4/28,15746
2015/5/5,20796
2015/5/12,13064
2015/5/19,-31375
2015/5/26,-46587
2015/6/2,-33642
2015/6/9,-20885
2015/6/16,-2306
2015/6/23,67003
2015/6/30,119933
2015/7/7,122726
2015/7/14,134661
2015/7/21,134489
2015/7/28,90641
2015/8/4,77483
2015/8/11,95643
2015/8/18,51745
2015/8/25,24340
2015/9/1,9746
2015/9/8,12963
2015/9/15,7072
2015/9/22,-10041
2015/9/29,14527
2015/10/6,22184
2015/10/13,46506
2015/10/20,40654
2015/10/27,24433
2015/11/3,-2099
2015/11/10,-36542
2015/11/17,-33855
2015/11/24,-41384
2015/12/1,-27114
2015/12/8,-8066
2015/12/15,-31071
2015/12/22,-31603
2015/12/29,-60670
2016/1/5,-82104
2016/1/12,-61606
2016/1/19,-29003
2016/1/26,-31774
2016/2/2,-28517
2016/2/9,-73254
2016/2/16,-49365
2016/2/23,-30692
2016/3/1,-85959
2016/3/8,-36009
2016/3/15,25696
2016/3/22,67426
2016/3/29,93245
2016/4/5,87840
2016/4/12,123113
2016/4/19,170234
2016/4/26,196052
2016/5/3,207763
2016/5/10,246150
2016/5/17,247317
2016/5/24,240828
2016/5/31,248675
2016/6/7,255950
2016/6/14,250956
2016/6/21,235649
2016/6/28,232428
2016/7/5,204390
2016/7/12,188809
2016/7/19,168713
2016/7/26,156375
2016/8/2,138491
2016/8/9,144721
2016/8/16,132810
2016/8/23,158110
2016/8/30,121434
2016/9/6,103022
2016/9/13,95567
2016/9/20,101274
2016/9/27,72783
2016/10/4,82217
2016/10/11,93000
2016/10/18,110697
2016/10/25,132181
2016/11/1,154782
2016/11/8,167735
2016/11/15,136624
2016/11/22,159142
2016/11/29,185862
2016/12/6,177192
2016/12/13,171791
2016/12/20,156843
2016/12/27,145568
2017/1/3,132656
2017/1/10,126766
2017/1/17,167438
2017/1/24,200858
2017/1/31,181101
2017/2/7,176402
2017/2/14,195921
2017/2/21,182000
2017/2/28,164243
2017/3/7,160945
2017/3/14,119374
2017/3/21,84223
2017/3/28,56120
2017/4/4,15450
2017/4/11,-14575
2017/4/18,-31504
2017/4/25,-38371
2017/5/2,-33207
2017/5/9,-22903
2017/5/16,-21841
2017/5/23,-50511
2017/5/30,-76276
2017/6/6,-89789
2017/6/13,-72342
2017/6/20,-82184
2017/6/27,-113144
2017/7/4,-70802
2017/7/11,16733
2017/7/18,33866
2017/7/25,49648
2017/8/1,42701
2017/8/8,22285
2017/8/15,1379
2017/8/22,-10878
2017/8/29,-20413
2017/9/5,-3998
2017/9/12,3898
2017/9/19,21211
2017/9/26,34616
2017/10/3,34992
2017/10/10,40614
2017/10/17,81215
2017/10/24,49670
2017/10/31,57243
2017/11/7,57737
2017/11/14,36481
2017/11/21,34027
2017/11/28,49889
2017/12/5,78218
2017/12/12,40394
2017/12/19,-13548
2017/12/26,-39988
2018/1/2,-63627
2018/1/9,-82418
2018/1/16,-93493
2018/1/23,-74772
2018/1/30,-12845
2018/2/6,-3250
2018/2/13,53241
2018/2/20,112809
2018/2/27,156909
2018/3/6,196074
2018/3/13,203048
2018/3/20,196087
2018/3/27,183748
2018/4/3,200722
2018/4/10,200149
2018/4/17,210365
2018/4/24,190817
2018/5/1,202421
2018/5/8,163909
2018/5/15,144496
2018/5/22,127823
2018/5/29,131736
2018/6/5,94996
2018/6/12,40368
2018/6/19,-1886
2018/6/26,-29954
2018/7/3,-38908
2018/7/10,-31398
2018/7/17,-33938
2018/7/24,-44689
2018/7/31,-38923
2018/8/7,-41461
2018/8/14,-54065
2018/8/21,-33061
2018/8/28,-54736
2018/9/4,-68856
2018/9/11,-77854
2018/9/18,-82487
2018/9/25,-64436
2018/10/2,-44608
2018/10/9,-42835
2018/10/16,-26904
2018/10/23,-33353
2018/10/30,-68748
2018/11/6,-35552
2018/11/13,-44994
2018/11/20,-48525
2018/11/27,-47926
2018/12/4,5971
2018/12/11,7245
2018/12/18,17113
2018/12/25,4930
2019/1/1,-4202
2019/1/8,14265
2019/1/15,-4214
2019/1/22,-8262
2019/1/29,14182
2019/2/5,17927
2019/2/12,5986
2019/2/19,-22389
2019/2/26,-15652
2019/3/5,-28574
2019/3/12,-68080
2019/3/19,-41766
2019/3/26,-32618
2019/4/2,-51227
2019/4/9,-46490
2019/4/16,-70183
2019/4/23,-110318
2019/4/30,-132011
2019/5/7,-140424
2019/5/14,-148817
2019/5/21,-127225
2019/5/28,-102237
2019/6/4,-69143
