Dates,S_Sup,S_Use
2010/1/1,3465,3210
2010/1/4,3465,3210
2010/1/5,3465,3210
2010/1/6,3465,3210
2010/1/7,3465,3210
2010/1/8,3465,3210
2010/1/11,3465,3210
2010/1/12,3465,3210
2010/1/13,3465,3210
2010/1/14,3465,3210
2010/1/15,3465,3210
2010/1/18,3465,3210
2010/1/19,3465,3210
2010/1/20,3465,3210
2010/1/21,3465,3210
2010/1/22,3465,3210
2010/1/25,3465,3210
2010/1/26,3465,3210
2010/1/27,3465,3210
2010/1/28,3465,3210
2010/1/29,3465,3210
2010/2/1,3507,3262
2010/2/2,3507,3262
2010/2/3,3507,3262
2010/2/4,3507,3262
2010/2/5,3507,3262
2010/2/8,3507,3262
2010/2/9,3507,3262
2010/2/10,3507,3262
2010/2/11,3507,3262
2010/2/12,3507,3262
2010/2/15,3507,3262
2010/2/16,3507,3262
2010/2/17,3507,3262
2010/2/18,3507,3262
2010/2/19,3507,3262
2010/2/22,3507,3262
2010/2/23,3507,3262
2010/2/24,3507,3262
2010/2/25,3507,3262
2010/2/26,3507,3262
2010/3/1,3507,3297
2010/3/2,3507,3297
2010/3/3,3507,3297
2010/3/4,3507,3297
2010/3/5,3507,3297
2010/3/8,3507,3297
2010/3/9,3507,3297
2010/3/10,3507,3297
2010/3/11,3507,3297
2010/3/12,3507,3297
2010/3/15,3507,3297
2010/3/16,3507,3297
2010/3/17,3507,3297
2010/3/18,3507,3297
2010/3/19,3507,3297
2010/3/22,3507,3297
2010/3/23,3507,3297
2010/3/24,3507,3297
2010/3/25,3507,3297
2010/3/26,3507,3297
2010/3/29,3507,3297
2010/3/30,3507,3297
2010/3/31,3512,3322
2010/4/1,3512,3322
2010/4/2,3512,3322
2010/4/5,3512,3322
2010/4/6,3512,3322
2010/4/7,3512,3322
2010/4/8,3512,3322
2010/4/9,3512,3322
2010/4/12,3512,3322
2010/4/13,3512,3322
2010/4/14,3512,3322
2010/4/15,3512,3322
2010/4/16,3512,3322
2010/4/19,3512,3322
2010/4/20,3512,3322
2010/4/21,3512,3322
2010/4/22,3512,3322
2010/4/23,3512,3322
2010/4/26,3512,3322
2010/4/27,3512,3322
2010/4/28,3512,3322
2010/4/29,3512,3322
2010/4/30,3512,3323
2010/5/3,3512,3323
2010/5/4,3512,3323
2010/5/5,3512,3323
2010/5/6,3512,3323
2010/5/7,3512,3323
2010/5/10,3512,3323
2010/5/11,3512,3323
2010/5/12,3512,3323
2010/5/13,3512,3323
2010/5/14,3512,3323
2010/5/17,3512,3323
2010/5/18,3512,3323
2010/5/19,3512,3323
2010/5/20,3512,3323
2010/5/21,3512,3323
2010/5/24,3512,3323
2010/5/25,3512,3323
2010/5/26,3512,3323
2010/5/27,3512,3323
2010/5/28,3512,3323
2010/5/31,3510,3144
2010/6/1,3510,3144
2010/6/2,3510,3144
2010/6/3,3510,3144
2010/6/4,3510,3144
2010/6/7,3510,3144
2010/6/8,3510,3144
2010/6/9,3510,3144
2010/6/10,3510,3144
2010/6/11,3510,3144
2010/6/14,3510,3144
2010/6/15,3510,3144
2010/6/16,3510,3144
2010/6/17,3510,3144
2010/6/18,3510,3144
2010/6/21,3510,3144
2010/6/22,3510,3144
2010/6/23,3510,3144
2010/6/24,3510,3144
2010/6/25,3510,3144
2010/6/28,3510,3144
2010/6/29,3510,3144
2010/6/30,3505,3144
2010/7/1,3505,3144
2010/7/2,3505,3144
2010/7/5,3505,3144
2010/7/6,3505,3144
2010/7/7,3505,3144
2010/7/8,3505,3144
2010/7/9,3505,3144
2010/7/12,3505,3144
2010/7/13,3505,3144
2010/7/14,3505,3144
2010/7/15,3505,3144
2010/7/16,3505,3144
2010/7/19,3505,3144
2010/7/20,3505,3144
2010/7/21,3505,3144
2010/7/22,3505,3144
2010/7/23,3505,3144
2010/7/26,3505,3144
2010/7/27,3505,3144
2010/7/28,3505,3144
2010/7/29,3505,3144
2010/7/30,3505,3144
2010/8/2,3530,3170
2010/8/3,3530,3170
2010/8/4,3530,3170
2010/8/5,3530,3170
2010/8/6,3530,3170
2010/8/9,3530,3170
2010/8/10,3530,3170
2010/8/11,3530,3170
2010/8/12,3530,3170
2010/8/13,3530,3170
2010/8/16,3530,3170
2010/8/17,3530,3170
2010/8/18,3530,3170
2010/8/19,3530,3170
2010/8/20,3530,3170
2010/8/23,3530,3170
2010/8/24,3530,3170
2010/8/25,3530,3170
2010/8/26,3530,3170
2010/8/27,3530,3170
2010/8/30,3530,3170
2010/8/31,3603,3243
2010/9/1,3603,3243
2010/9/2,3603,3243
2010/9/3,3603,3243
2010/9/6,3603,3243
2010/9/7,3603,3243
2010/9/8,3603,3243
2010/9/9,3603,3243
2010/9/10,3603,3243
2010/9/13,3603,3243
2010/9/14,3603,3243
2010/9/15,3603,3243
2010/9/16,3603,3243
2010/9/17,3603,3243
2010/9/20,3603,3243
2010/9/21,3603,3243
2010/9/22,3603,3243
2010/9/23,3603,3243
2010/9/24,3603,3243
2010/9/27,3603,3243
2010/9/28,3603,3243
2010/9/29,3603,3243
2010/9/30,3643,3293
2010/10/1,3643,3293
2010/10/4,3643,3293
2010/10/5,3643,3293
2010/10/6,3643,3293
2010/10/7,3643,3293
2010/10/8,3643,3293
2010/10/11,3643,3293
2010/10/12,3643,3293
2010/10/13,3643,3293
2010/10/14,3643,3293
2010/10/15,3643,3293
2010/10/18,3643,3293
2010/10/19,3643,3293
2010/10/20,3643,3293
2010/10/21,3643,3293
2010/10/22,3643,3293
2010/10/25,3643,3293
2010/10/26,3643,3293
2010/10/27,3643,3293
2010/10/28,3643,3293
2010/10/29,3643,3293
2010/11/1,3569,3305
2010/11/2,3569,3305
2010/11/3,3569,3305
2010/11/4,3569,3305
2010/11/5,3569,3305
2010/11/8,3569,3305
2010/11/9,3569,3305
2010/11/10,3569,3305
2010/11/11,3569,3305
2010/11/12,3569,3305
2010/11/15,3569,3305
2010/11/16,3569,3305
2010/11/17,3569,3305
2010/11/18,3569,3305
2010/11/19,3569,3305
2010/11/22,3569,3305
2010/11/23,3569,3305
2010/11/24,3569,3305
2010/11/25,3569,3305
2010/11/26,3569,3305
2010/11/29,3569,3305
2010/11/30,3536,3351
2010/12/1,3536,3351
2010/12/2,3536,3351
2010/12/3,3536,3351
2010/12/6,3536,3351
2010/12/7,3536,3351
2010/12/8,3536,3351
2010/12/9,3536,3351
2010/12/10,3536,3351
2010/12/13,3536,3351
2010/12/14,3536,3351
2010/12/15,3536,3351
2010/12/16,3536,3351
2010/12/17,3536,3351
2010/12/20,3536,3351
2010/12/21,3536,3351
2010/12/22,3536,3351
2010/12/23,3536,3351
2010/12/24,3536,3351
2010/12/27,3536,3351
2010/12/28,3536,3351
2010/12/29,3536,3351
2010/12/30,3536,3351
2010/12/31,3536,3371
2011/1/3,3536,3371
2011/1/4,3536,3371
2011/1/5,3536,3371
2011/1/6,3536,3371
2011/1/7,3536,3371
2011/1/10,3536,3371
2011/1/11,3536,3371
2011/1/12,3536,3371
2011/1/13,3536,3371
2011/1/14,3536,3371
2011/1/17,3536,3371
2011/1/18,3536,3371
2011/1/19,3536,3371
2011/1/20,3536,3371
2011/1/21,3536,3371
2011/1/24,3536,3371
2011/1/25,3536,3371
2011/1/26,3536,3371
2011/1/27,3536,3371
2011/1/28,3536,3371
2011/1/31,3495,3355
2011/2/1,3495,3355
2011/2/2,3495,3355
2011/2/3,3495,3355
2011/2/4,3495,3355
2011/2/7,3495,3355
2011/2/8,3495,3355
2011/2/9,3495,3355
2011/2/10,3495,3355
2011/2/11,3495,3355
2011/2/14,3495,3355
2011/2/15,3495,3355
2011/2/16,3495,3355
2011/2/17,3495,3355
2011/2/18,3495,3355
2011/2/21,3495,3355
2011/2/22,3495,3355
2011/2/23,3495,3355
2011/2/24,3495,3355
2011/2/25,3495,3355
2011/2/28,3495,3355
2011/3/1,3495,3355
2011/3/2,3495,3355
2011/3/3,3495,3355
2011/3/4,3495,3355
2011/3/7,3495,3355
2011/3/8,3495,3355
2011/3/9,3495,3355
2011/3/10,3495,3355
2011/3/11,3495,3355
2011/3/14,3495,3355
2011/3/15,3495,3355
2011/3/16,3495,3355
2011/3/17,3495,3355
2011/3/18,3495,3355
2011/3/21,3495,3355
2011/3/22,3495,3355
2011/3/23,3495,3355
2011/3/24,3495,3355
2011/3/25,3495,3355
2011/3/28,3495,3355
2011/3/29,3495,3355
2011/3/30,3495,3355
2011/3/31,3495,3355
2011/4/1,3495,3355
2011/4/4,3495,3355
2011/4/5,3495,3355
2011/4/6,3495,3355
2011/4/7,3495,3355
2011/4/8,3495,3355
2011/4/11,3495,3355
2011/4/12,3495,3355
2011/4/13,3495,3355
2011/4/14,3495,3355
