	SPX Index			
	#N/A Requesting Data...	#N/A Requesting Data...	#N/A Requesting Data...	#N/A Requesting Data...
Dates	PX_LOW	PX_HIGH	PX_OPEN	PX_LAST
2013/1/2	1426.19	1462.43	1426.19	1462.42
2013/1/3	1455.53	1465.47	1462.42	1459.37
2013/1/4	1458.99	1467.94	1459.37	1466.47
2013/1/7	1456.62	1466.47	1466.47	1461.89
2013/1/8	1451.64	1461.89	1461.89	1457.15
2013/1/9	1457.15	1464.73	1457.15	1461.02
2013/1/10	1461.02	1472.3	1461.02	1472.12
2013/1/11	1467.58	1472.75	1472.12	1472.05
2013/1/14	1465.69	1472.05	1472.05	1470.68
2013/1/15	1463.76	1473.31	1470.67	1472.34
2013/1/16	1467.6	1473.96	1472.33	1472.63
2013/1/17	1472.63	1485.16	1472.63	1480.94
2013/1/18	1475.81	1485.98	1480.95	1485.98
2013/1/22	1481.16	1492.56	1485.98	1492.56
2013/1/23	1489.9	1496.13	1492.56	1494.81
2013/1/24	1489.46	1502.27	1494.81	1494.82
2013/1/25	1494.82	1503.26	1494.82	1502.96
2013/1/28	1496.33	1503.23	1502.96	1500.18
2013/1/29	1498.09	1509.35	1500.18	1507.84
2013/1/30	1500.11	1509.94	1507.84	1501.96
2013/1/31	1496.76	1504.19	1501.96	1498.11
2013/2/1	1498.11	1514.41	1498.11	1513.17
2013/2/4	1495.02	1513.17	1513.17	1495.71
2013/2/5	1495.71	1514.96	1495.71	1511.29
2013/2/6	1504.71	1512.53	1511.29	1512.12
2013/2/7	1498.49	1512.9	1512.12	1509.39
2013/2/8	1509.39	1518.31	1509.39	1517.93
2013/2/11	1513.61	1518.31	1517.93	1517.01
2013/2/12	1515.61	1522.29	1517.01	1519.43
2013/2/13	1515.93	1524.69	1519.43	1520.33
2013/2/14	1514.02	1523.14	1520.33	1521.38
2013/2/15	1514.14	1524.24	1521.38	1519.79
2013/2/19	1519.79	1530.94	1519.79	1530.94
2013/2/20	1511.41	1530.94	1530.94	1511.95
2013/2/21	1497.29	1511.95	1511.95	1502.42
2013/2/22	1502.42	1515.64	1502.42	1515.6
2013/2/25	1487.85	1525.84	1515.6	1487.85
2013/2/26	1485.01	1498.99	1487.85	1496.94
2013/2/27	1494.88	1520.08	1496.94	1515.99
2013/2/28	1514.46	1525.34	1515.99	1514.68
2013/3/1	1501.48	1519.99	1514.68	1518.2
2013/3/4	1512.29	1525.27	1518.2	1525.2
2013/3/5	1525.2	1543.47	1525.2	1539.79
2013/3/6	1538.11	1545.25	1539.79	1541.46
2013/3/7	1541.46	1545.78	1541.46	1544.26
2013/3/8	1542.94	1552.48	1544.26	1551.18
2013/3/11	1547.36	1556.27	1551.15	1556.22
2013/3/12	1548.24	1556.77	1556.22	1552.48
2013/3/13	1548.25	1556.39	1552.48	1554.52
2013/3/14	1554.52	1563.32	1554.52	1563.23
2013/3/15	1555.74	1563.62	1563.21	1560.7
2013/3/18	1545.13	1560.7	1560.7	1552.1
2013/3/19	1538.57	1557.25	1552.1	1548.34
2013/3/20	1548.34	1561.56	1548.34	1558.71
2013/3/21	1543.55	1558.71	1558.71	1545.8
2013/3/22	1545.9	1557.74	1545.9	1556.89
2013/3/25	1546.22	1564.91	1556.89	1551.69
2013/3/26	1551.69	1563.95	1551.69	1563.77
2013/3/27	1551.9	1564.07	1563.75	1562.85
2013/3/28	1561.08	1570.28	1562.86	1569.19
2013/4/1	1558.47	1570.57	1569.18	1562.17
2013/4/2	1562.17	1573.66	1562.17	1570.25
2013/4/3	1549.8	1571.47	1570.25	1553.69
2013/4/4	1552.52	1562.6	1553.69	1559.98
2013/4/5	1539.5	1559.98	1559.98	1553.28
2013/4/8	1548.63	1563.07	1553.26	1563.07
2013/4/9	1560.92	1573.89	1563.11	1568.61
2013/4/10	1568.61	1589.07	1568.61	1587.73
2013/4/11	1586.17	1597.35	1587.73	1593.37
2013/4/12	1579.97	1593.3	1593.3	1588.85
2013/4/15	1552.28	1588.84	1588.84	1552.36
2013/4/16	1552.36	1575.35	1552.36	1574.57
2013/4/17	1543.69	1574.57	1574.57	1552.01
2013/4/18	1536.03	1554.38	1552.03	1541.61
2013/4/19	1539.4	1555.89	1541.61	1555.25
2013/4/22	1548.19	1565.55	1555.25	1562.5
2013/4/23	1562.5	1579.58	1562.5	1578.78
2013/4/24	1575.8	1583	1578.78	1578.79
2013/4/25	1578.93	1592.64	1578.93	1585.16
2013/4/26	1577.56	1585.78	1585.16	1582.24
2013/4/29	1582.34	1596.65	1582.34	1593.61
2013/4/30	1586.5	1597.57	1593.58	1597.57
2013/5/1	1581.28	1597.55	1597.55	1582.7
2013/5/2	1582.77	1598.6	1582.77	1597.59
2013/5/3	1597.6	1618.46	1597.6	1614.42
2013/5/6	1614.21	1619.77	1614.4	1617.5
2013/5/7	1616.64	1626.03	1617.55	1625.96
2013/5/8	1622.7	1632.78	1625.95	1632.69
2013/5/9	1623.09	1635.01	1632.69	1626.67
2013/5/10	1623.71	1633.7	1626.69	1633.7
2013/5/13	1626.74	1636	1632.1	1633.77
2013/5/14	1633.75	1651.1	1633.75	1650.34
2013/5/15	1646.68	1661.49	1649.13	1658.78
2013/5/16	1648.6	1660.51	1658.07	1650.47
2013/5/17	1652.45	1667.47	1652.45	1667.47
2013/5/20	1663.52	1672.84	1665.71	1666.29
2013/5/21	1662.67	1674.93	1666.2	1669.16
2013/5/22	1648.86	1687.18	1669.39	1655.35
2013/5/23	1635.53	1655.5	1651.62	1650.51
2013/5/24	1636.88	1649.78	1646.67	1649.6
2013/5/28	1652.63	1674.21	1652.63	1660.06
2013/5/29	1640.05	1656.57	1656.57	1648.36
2013/5/30	1648.61	1661.91	1649.14	1654.41
2013/5/31	1630.74	1658.99	1652.13	1630.74
2013/6/3	1622.72	1640.42	1631.71	1640.42
2013/6/4	1623.62	1646.53	1640.73	1631.38
2013/6/5	1607.09	1629.31	1629.05	1608.9
2013/6/6	1598.23	1622.56	1609.29	1622.56
2013/6/7	1625.27	1644.4	1625.27	1643.38
2013/6/10	1639.26	1648.69	1644.67	1642.81
2013/6/11	1622.92	1640.13	1638.64	1626.13
2013/6/12	1610.92	1637.71	1629.94	1612.52
2013/6/13	1608.07	1639.25	1612.15	1636.36
2013/6/14	1623.96	1640.8	1635.52	1626.73
2013/6/17	1630.34	1646.5	1630.64	1639.04
2013/6/18	1639.77	1654.19	1639.77	1651.81
2013/6/19	1628.91	1652.45	1651.83	1628.93
2013/6/20	1584.32	1624.62	1624.62	1588.19
2013/6/21	1577.7	1599.19	1588.62	1592.43
2013/6/24	1560.33	1588.77	1588.77	1573.09
2013/6/25	1577.09	1593.79	1577.52	1588.03
2013/6/26	1592.27	1606.83	1592.27	1603.26
2013/6/27	1606.44	1620.07	1606.44	1613.2
2013/6/28	1601.06	1615.94	1611.12	1606.28
2013/7/1	1609.78	1626.61	1609.78	1614.96
2013/7/2	1606.77	1624.26	1614.29	1614.08
2013/7/3	1604.57	1618.97	1611.48	1615.41
