	UX1 Index		UX2 Index					FVS1 Index		FVS2 Index	
Dates	PX_OPEN	PX_LAST	PX_OPEN	PX_LAST			Dates	PX_OPEN	PX_LAST	PX_OPEN	PX_LAST
2017/8/1	11.3	11.225	12.5	12.425			2017/8/1	14.5	14.15	15.75	15.55
2017/8/2	11.25	11.275	12.4	12.625			2017/8/2	14.2	14.3	15.5	15.6
2017/8/3	11.28	11.325	12.6	12.725			2017/8/3	14.5	14.45	15.75	15.6
2017/8/4	11.34	11.275	12.72	12.775			2017/8/4	14.45	14.15	15.6	15.35
2017/8/7	11.25	11.125	12.8	12.575			2017/8/7	14.05	14.05	15.45	15.4
2017/8/8	11.1	11.525	12.55	12.925			2017/8/8	14.1	13.6	15.55	15.2
2017/8/9	11.55	11.725	12.9	13.075			2017/8/9	14.2	14.9	15.75	16.05
2017/8/10	11.75	15.525	13.08	15.175			2017/8/10	14.95	18	16	17.85
2017/8/11	15.55	15.425	15.15	15.275			2017/8/11	19.7	19	19.45	18.15
2017/8/14	15	12.45	15.25	13.175			2017/8/14	18.65	15.7	17.9	16.3
2017/8/15	12.43	12.325	13.15	13.175			2017/8/15	15.65	14.95	16.15	15.9
2017/8/16	12.31	12.16	13.19	13.075			2017/8/16	14.75	14	16	15.75
2017/8/17	13.1	14.925	13.78	15.025			2017/8/17	15.8	16.55	16.65	17.05
2017/8/18	14.95	14.975	15	15.125			2017/8/18	17	17.25	17.55	17.3
2017/8/21	14.8	14.125	15.05	14.625			2017/8/21	17.5	17.5	17.6	17.55
2017/8/22	14.15	12.975	14.65	13.675			2017/8/22	16.95	16.4	17.2	17.1
2017/8/23	12.95	13.625	13.68	14.225			2017/8/23	16.1	16.35	16.75	16.95
2017/8/24	13.65	13.425	14.25	14.125			2017/8/24	16.4	16.45	17.05	17.1
2017/8/25	13.45	13.075	14.15	14.025			2017/8/25	16.15	16.25	16.95	16.95
2017/8/28	12.95	13.025	13.95	13.925			2017/8/28	16.25	16.25	17.2	16.95
2017/8/29	13.05	13.175	13.94	14.025			2017/8/29	16.95	16.75	17.55	17.2
2017/8/30	13.15	13.175	14.02	14.075			2017/8/30	16.4	16.25	16.85	17.05
2017/8/31	13.2	12.625	14.1	13.725			2017/8/31	16.1	15.95	17	17.05
2017/9/1	12.6	12.625	13.7	13.775			2017/9/1	15.85	15.45	16.8	16.55
2017/9/4	12.6	12.625	13.7	13.775			2017/9/4	16	16.25	16.9	17.25
2017/9/5	13.4	13.175	14.75	14.025			2017/9/5	16.25	16.25	17.2	17.3
2017/9/6	13.2	13.175	14.05	14.175			2017/9/6	16.35	16.2	17.15	17.2
2017/9/7	13.15	12.825	14.15	14.075			2017/9/7	16	15.6	17.25	16.8
2017/9/8	12.85	13.275	14.06	14.325			2017/9/8	15.8	15.65	16.9	16.9
2017/9/11	12.95	12.075	14.2	13.675			2017/9/11	15.2	14.6	16.65	16.4
2017/9/12	12.05	11.875	13.65	13.375			2017/9/12	14.45	14.15	16.2	16
2017/9/13	11.9	11.525	13.35	12.925			2017/9/13	14.1	13.85	15.95	15.65
2017/9/14	11.55	11.475	12.95	13.025			2017/9/14	13.85	13.6	15.55	15.75
2017/9/15	11.48	11.125	13.05	12.925			2017/9/15	13.7	13.45	15.85	15.7
2017/9/18	11.1	10.675	12.9	12.425			2017/9/18	12.95	12.55	15.5	15
2017/9/19	10.7	10.825	12.4	12.425			2017/9/19	12.5	12	15	14.9
2017/9/20	10.8	10.45	12.4	12.275			2017/9/20	11.9	11.48	14.8	14.75
2017/9/21	12.3	12.325	13.2	13.275			2017/9/21	14.7	14.35	15.65	15.45
2017/9/22	12.35	12.425	13.25	13.425			2017/9/22	14.8	14.7	15.65	15.8
2017/9/25	12.35	12.375	13.4	13.375			2017/9/25	14.85	14.7	15.9	15.85
2017/9/26	12.4	12.275	13.35	13.275			2017/9/26	14.7	14.6	15.8	15.7
2017/9/27	12.29	12.175	13.26	13.275			2017/9/27	14.45	14.35	15.55	15.6
2017/9/28	12.2	11.925	13.25	13.125			2017/9/28	14.35	14.25	15.65	15.55
